Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
La,85.0,Ba,15.0,,,,,,,,,,,,,,,,,,,,n.a.,1023,0.40,0.20,2.0,1.0,0.18 ,,42.0,,,,43.0,18.1
La,100.0,,,,,,,,,,,,,,,,,,,,,,n.a.,1032,0.91,0.09,10.0,1.0,0.02 ,100.0,14.0,30.0,30.0,40.0,70.0,9.8
La,100.0,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.81,0.19,4.3,1.0,0.03 ,62.0,12.0,36.0,,,64.0,7.7
La,25.0,Ca,25.0,Mn,25.0,Co,25.0,,,,,,,,,,,,,,,,Therm.decomp.,973,0.90,0.20,4.5,1.0,6.80 ,,2.2,,,,5.9,0.1
La,100.0,,,,,,,,,,,,,,,,,,,,,,Precipitation,1123,0.91,0.10,9.0,1.0,0.00 ,82.0,13.1,,,,70.0,9.2
La,100.0,,,,,,,,,,,,,,,,,,,,,,n.a.,1023,0.28,0.04,7.0,1.0,2.80 ,100.0,14.3,,26.1,35.8,61.9,8.9
La,100.0,,,,,,,,,,,,,,,,,,,,,,n.a.,1068,0.30,0.05,6.0,1.0,0.24 ,,17.5,,,,52.6,9.2
La,50.0,Y,50.0,,,,,,,,,,,,,,,,,,,,Sol-gel,1068,0.30,0.05,6.0,1.0,0.24 ,,16.8,,,,45.7,7.7
La,90.0,Sr,10.0,,,,,,,,,,,,,,,,,,,,Sol-gel,1068,0.30,0.05,6.0,1.0,0.24 ,,18.3,,,,59.6,10.9
La,40.0,Sr,10.0,Mn,50.0,,,,,,,,,,,,,,,,,,Therm.decomp.,1068,0.30,0.05,6.0,1.0,0.24 ,,11.9,,,,18.4,2.2
