Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
Sr,27.3,Pr,18.1,,,,,,,,,F,54.6,,,,,,,,,,Therm.decomp.,1123,0.55,0.16,3.4,1.0,0.20 ,86.8,26.8,,35.4,26.1,61.5,16.5
Sr,50.0,Ce,47.5,Yb,2.5,,,,,,,,,,,,,,,,,,Therm.decomp.,883,0.44,0.11,4.0,1.0,0.33 ,,19.9,,24.6,24.5,49.1,9.8
Sr,16.0,La,10.0,Ca,74.0,,,,,,,,,,,,,,,,,,Therm.decomp.,1103,0.07,0.03,2.0,1.0,0.10 ,,47.0,59.6,22.5,16.0,38.5,18.1
Sr,12.0,La,8.2,,,,,,,,,,,,,,Al,69.4,Si,10.4,,,Impregnation,1123,0.80,0.20,4.0,1.0,0.04 ,,29.1,,,,57.5,16.7
Sr,33.3,,,,,,,,,,,F,66.7,,,,,,,,,,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18 ,1.4,0.8,,0.0,54.0,54.0,0.4
Sr,50.0,Nd,50.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18 ,99.1,29.4,,27.8,22.3,50.1,14.7
Sr,16.7,Nd,50.0,,,,,,,,,F,33.3,,,,,,,,,,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18 ,98.9,34.3,,33.1,34.0,67.1,23.0
Sr,9.1,La,90.9,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04 ,,29.0,,,,59.3,17.2
Sr,9.1,Sm,90.9,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04 ,,25.5,,,,56.5,14.4
Sr,9.1,Eu,90.9,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04 ,,26.0,,,,53.8,14.0
Sr,9.1,Yb,90.9,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04 ,,25.0,,,,52.8,13.2
Sr,9.1,Ce,90.9,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04 ,,17.0,,,,57.6,9.8
Sr,9.1,Pr,90.9,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04 ,,24.0,,,,41.7,10.0
Sr,9.1,Nd,90.9,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04 ,,26.0,,,,53.1,13.8
Sr,9.1,Gd,90.9,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.80,0.20,4.0,1.0,0.04 ,,25.0,,,,55.2,13.8
