Promotor,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %",Sr_C_mol%,Ca_C_mol%,La_C_mol%,Sm_C_mol%,Li_C_mol%,Th_C_mol%,Zr_C_mol%,Y_C_mol%,Al_C_mol%,Co_C_mol%,Fe_C_mol%,Nb_C_mol%,Bi_C_mol%,Ba_C_mol%,Mg_C_mol%,Ti_C_mol%,Sn_C_mol%,Nd_C_mol%,Pr_C_mol%,Ce_C_mol%,Yb_C_mol%,Eu_C_mol%,Gd_C_mol%,Dy_C_mol%,Er_C_mol%,Ho_C_mol%,Tm_C_mol%,Ni_C_mol%,Pb_C_mol%,Na_C_mol%,K_C_mol%,Rb_C_mol%,Cs_C_mol%,Tl_C_mol%,Mn_C_mol%,W_C_mol%,Cu_C_mol%,Rh_C_mol%,Pd_C_mol%,Si_C_mol%,Mo_C_mol%,Zn_C_mol%,Cr_C_mol%,C_A_mol%,S_A_mol%,Cl_A_mol%,P_A_mol%,F_A_mol%,N_A_mol%,Al_S_mol%,Si_S_mol%,La_S_mol%,Ca_S_mol%
0,Therm.decomp.,1073,0.09,0.05,2.0,1.0,0.19,39.0,24.0,52.0,25.0,23.0,48.0,11.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,43.3,7.0,0.0,0.0,0.0,67.5,4.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,56.5,9.3,0.0,0.0,0.0,73.3,6.8,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,74.1,12.0,0.0,0.0,0.0,75.0,9.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,n.a.,1013,0.4,0.1,4.0,1.0,0.01,0.0,21.0,0.0,34.0,34.0,68.0,14.3,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl,n.a.,1023,0.1,0.05,2.0,1.0,4.6,0.0,49.0,56.0,42.0,2.0,44.0,21.6,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7,0.0,0.0,0.0
0,Impregnation,923,0.09,0.04,2.2,1.0,2.4,0.0,7.5,0.0,0.0,0.0,61.0,4.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0
Cl,Impregnation,923,0.09,0.04,2.2,1.0,6.0,0.0,8.9,0.0,0.0,0.0,67.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0
0,Impregnation,1059,0.92,0.09,10.0,1.0,0.02,94.5,14.6,26.0,0.0,0.0,74.9,10.9,9.1,0.0,0.0,0.0,0.0,0.0,0.0,90.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,n.a.,1141,0.91,0.09,10.0,1.0,0.02,88.0,13.0,30.0,46.0,24.0,70.0,9.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
