Promotor,Preparation,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %",Na_C_mol%,Mg_C_mol%,Ca_C_mol%,Mn_C_mol%,La_C_mol%,Ba_C_mol%,Zr_C_mol%,W_C_mol%,Ti_C_mol%,Ce_C_mol%,S_A_mol%,P_A_mol%,Cl_A_mol%,Si_S_mol%,C_S_mol%,Mg_S_mol%,Ti_S_mol%
0,1,1023,4.0,1.0,0.24,65.0,12.0,51.0,34.0,15.0,49.0,5.9,5.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0,1,1123,19.0,1.0,0.05,100.0,10.0,0.0,0.0,0.0,86.0,8.6,1.6,78.4,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1023,9.0,1.0,0.6,0.0,8.0,0.0,6.0,14.0,20.0,1.6,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1023,3.0,1.0,0.25,0.0,24.8,0.0,0.0,0.0,21.0,5.2,33.3,33.4,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1023,3.0,1.0,0.25,0.0,23.7,0.0,0.0,0.0,19.0,4.5,33.3,33.4,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1013,9.6,1.0,0.96,93.0,15.0,0.0,36.0,30.0,66.0,9.9,11.9,0.0,88.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1063,9.0,1.0,0.6,95.0,18.0,0.0,0.0,0.0,80.0,14.4,7.5,0.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1073,3.1,1.0,0.15,0.0,23.4,0.0,0.0,0.0,70.2,16.4,9.1,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,86.4,0.0,0.0,0.0
0,1,1053,4.8,1.0,1.0,19.5,4.1,25.7,16.7,57.6,74.3,3.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,76.3,0.0,0.0,0.0
0,1,1023,2.0,1.0,1.2,0.0,26.0,36.1,36.4,24.0,60.4,15.7,37.5,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
