,y_true,y_pred
247,20.0,8.357856
248,19.5,8.195756
249,17.3,13.565965
250,16.0,5.4216127
251,18.2,9.323767
252,17.2,9.537477
253,10.8,5.4216127
254,22.0,9.323766
255,19.7,9.537477
256,12.4,7.3483887
257,11.2,7.3559184
258,12.7,7.352425
259,3.1,8.971486
260,0.4,7.9007587
261,0.4,8.704173
262,2.3,9.547954
263,10.8,8.33602
264,1.6,9.344113
265,2.4,10.115175
266,8.5,8.768047
267,16.5,9.989951
268,1.0,10.115175
269,6.0,9.312185
270,13.7,10.579044
271,6.3,10.673089
272,1.8,9.312185
273,12.3,11.12919
274,18.0,11.174066
275,9.3,9.788249
276,2.6,11.12919
277,17.7,11.778033
278,17.2,10.264312
279,15.1,11.672158
280,14.7,12.868017
281,12.6,11.837166
282,11.9,11.327766
283,16.7,13.68575
284,15.3,12.925458
285,13.2,11.89461
286,12.6,11.376921
287,18.7,13.751614
288,16.7,12.989595
289,13.6,11.958743
290,14.0,11.43375
291,12.2,10.434864
