Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
Li,1.0,La,0.7,Mn,8.3,Ti,90.0,,,,,,,,,,,,,,,,Impregnation,1073,0.75,0.25,3.0,1.0,2.10 ,,27.5,,61.2,,76.1,20.9
Li,6.6,Sr,7.4,,,,,,,,,,,,,,Si,86.0,,,,,Impregnation,1048,0.28,0.04,7.1,1.0,3.00 ,,4.0,,43.0,15.0,58.0,2.3
Li,23.0,W,3.8,,,,,,,,,,,,,,Si,73.2,,,,,Impregnation,1073,0.43,0.14,3.1,1.0,0.15 ,,17.4,,,,50.9,8.9
Li,16.1,Zn,32.9,,,,,,,,,Cl,16.1,,,,Al,34.9,,,,,Precipitation,1023,0.08,0.04,2.0,1.0,0.60 ,,29.0,20.9,78.0,1.8,79.8,23.1
Li,24.6,Pb,4.0,Ca,71.4,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.07,0.03,2.0,1.0,1.80 ,,34.0,,,,36.0,12.2
Li,16.7,La,45.8,Ba,37.5,,,,,,,,,,,,,,,,,,Impregnation,1023,0.38,0.13,2.9,1.0,0.54 ,,22.9,31.6,32.9,32.7,65.6,15.0
Li,20.0,Fe,80.0,,,,,,,,,,,,,,,,,,,,Impregnation,1000,0.67,0.33,2.0,1.0,2.00 ,,55.0,,,,5.0,2.8
Li,9.0,Ni,1.1,Mg,89.9,,,,,,,,,,,,,,,,,,Therm.decomp.,978,0.30,0.12,2.5,1.0,0.01 ,,25.0,,,,36.5,9.1
Li,5.0,Ca,50.0,Ti,45.0,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.08,0.04,2.0,1.0,1.80 ,,40.0,,,,50.0,20.0
Li,23.4,Mg,76.6,,,,,,,,,,,,,,,,,,,,Impregnation,1073,0.56,0.19,2.9,1.0,2.30 ,,37.1,,,,52.0,19.3
Li,5.0,Zr,95.0,,,,,,,,,,,,,,,,,,,,Impregnation,1073,0.15,0.05,3.0,1.0,0.60 ,,17.2,49.9,27.2,22.9,50.1,8.6
Li,5.0,Zr,89.0,,,,,,,,,S,6.0,,,,,,,,,,Impregnation,1073,0.15,0.05,3.0,1.0,0.60 ,,32.1,21.0,58.3,20.7,79.0,25.4
Li,5.0,Zr,89.0,,,,,,,,,S,6.0,,,,,,,,,,Impregnation,1073,0.10,0.05,2.0,1.0,0.60 ,,43.3,21.0,58.3,20.7,79.0,34.2
Li,5.0,Mg,95.0,,,,,,,,,,,,,,,,,,,,Precipitation,1073,0.30,0.10,3.0,1.0,2.20 ,,37.5,,,,51.4,19.3
Li,24.0,Sr,38.0,Ce,36.1,Yb,1.9,,,,,,,,,,,,,,,,Therm.decomp.,893,0.44,0.11,4.0,1.0,0.33 ,,18.0,,28.4,44.6,73.0,13.1
Li,24.0,Ba,38.0,Ce,35.3,La,2.7,,,,,,,,,,,,,,,,Therm.decomp.,883,0.44,0.11,4.0,1.0,0.33 ,,18.3,,31.6,41.0,72.6,13.3
Li,9.1,Mg,90.9,,,,,,,,,,,,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.35 ,,27.6,,,,64.0,17.7
Li,65.9,Zr,17.1,,,,,,,,,S,17.0,,,,,,,,,,Impregnation,1000,0.15,0.05,3.0,1.0,0.67 ,,20.0,,,,70.0,14.0
