,Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
118,6785,723,2.25,0.576,0.740827791,0.95744382,0.538765351,615,26,3.49792563,0.008775594,0.990273054,0.544070219,0.095290661
119,6592,723,2.5,0,0.740794566,0.957448547,0.537010738,827,21,7.744775269,0.024263286,0.987237164,0.511263344,0.077472806
120,5649,723,2.5,0.072,0.740829495,0.957473483,0.540594222,482,48,6.981713684,0.01060399,0.712677884,0.607899366,0.06946627
121,2978,723,2.5,0.144,0.740834845,0.957475967,0.53579461,440,37,2.868199787,0.002427646,0.769697849,0.637688618,0.05484434
122,4627,723,2.5,0.216,0.740856531,0.957480773,0.536227117,527,20,2.735761875,0.0100243,0.586592788,0.549008243,0.048591447
123,4012,723,2.5,0.288,0.74084342,0.957494798,0.536044518,797,34,5.773005396,0.009376884,0.997934561,0.547381585,0.068261422
124,4297,723,2.5,0.36,0.740836766,0.957499906,0.53826521,944,31,4.918806681,0.013835852,0.746635276,0.60038126,0.036158563
125,1936,723,2.5,0.432,0.74083122,0.957505684,0.535482835,899,37,2.310242804,0.01546103,0.712943934,0.578412636,0.091647986
126,4259,723,2.5,0.504,0.740830521,0.957529128,0.536073161,403,43,7.897878147,0.019256264,0.860272646,0.559428798,0.052466576
127,2991,723,2.5,0.576,0.740793643,0.957552074,0.536561833,841,47,1.168793915,0.002499147,0.717833598,0.662529395,0.041556974
128,2346,723,2.75,0,0.740790819,0.957602743,0.535581249,703,34,4.167805257,0.008143232,0.978312604,0.505951872,0.027427607
129,3772,723,2.75,0.072,0.740767042,0.957617843,0.537706807,491,32,2.024772152,0.004714223,0.999803157,0.502025218,0.081922047
130,3785,723,2.75,0.144,0.740748635,0.957651839,0.536571798,337,12,2.696489199,0.005114646,0.521172678,0.557594569,0.050836987
131,3011,723,2.75,0.216,0.740716071,0.957664921,0.53672612,906,15,6.591534174,0.373442086,0.678163596,0.511368163,0.045521771
132,2556,723,2.75,0.288,0.74069916,0.957683321,0.537472415,734,35,6.763126726,0.000543238,0.980321578,0.510889126,0.023686183
133,2431,723,2.75,0.36,0.740692419,0.957739025,0.541034143,555,10,2.98826651,0.023510102,0.660677074,0.620374139,0.053155231
134,3545,723,2.75,0.432,0.740669105,0.957754064,0.54001036,616,8,5.184107555,0.070074053,0.718403364,0.646386639,0.094311855
135,2795,723,2.75,0.504,0.740658546,0.957758318,0.538270816,222,29,5.211553406,0.00408422,0.985078702,0.543298787,0.093653847
136,4378,723,2.75,0.576,0.740677907,0.957773685,0.536682431,959,8,6.690776047,0.013718645,0.72131651,0.567951844,0.082440073
137,657,723,3,0,0.740637958,0.957780645,0.538582625,874,31,7.215917808,0.042327799,0.837855145,0.662894892,0.071402842
138,1249,723,3,0.072,0.740634314,0.957787374,0.536282865,694,11,4.173088526,0.007651253,0.918031639,0.523668373,0.028577014
139,2173,723,3,0.144,0.74063387,0.957788193,0.537295426,388,40,6.068611737,0.015943248,0.953232604,0.730046655,0.058128968
140,2773,723,3,0.216,0.740641923,0.957789013,0.540210419,876,40,7.227443806,0.005044329,0.732728606,0.647793948,0.060439783
