,Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
89,135,-3.491069165,-1.649794999,0.785520001,0.703301654,1.024501605,0.689029711,308,24,5.269442448,0,0.965784688,0.53456625,0.1
90,136,-3.491069165,-1.649794999,1.171867551,0.742809999,0.953854473,0.506513906,355,8,7.892016823,0,0.5,1,0.1
91,137,-3.491069165,-1.649794999,1.558215102,0.705107536,1.021391004,0.685937571,961,14,2.098208273,0.063494911,0.535296316,0.571333989,0.060045287
92,150,-3.491069165,-1.465932374,-1.532565301,0.737582442,0.963510816,0.548233767,970,2,1,0,1,1,0.093042243
93,151,-3.491069165,-1.465932374,-1.146217751,0.705100437,1.021393914,0.687271648,312,41,4.975525368,0,0.518321198,0.5,0.1
94,152,-3.491069165,-1.465932374,-0.759870201,0.702540251,1.025777062,0.690654116,958,18,7.472057421,0.061087239,0.85834325,0.582775892,0.026557591
95,153,-3.491069165,-1.465932374,-0.37352265,0.742810353,0.953814171,0.508802646,937,3,1,0,1,1,0.1
96,154,-3.491069165,-1.465932374,0.0128249,0.743557442,0.952427837,0.503664215,979,34,6.113239347,0,0.5,1,0.1
97,155,-3.491069165,-1.465932374,0.39917245,0.704356331,1.022691041,0.687496602,314,27,3.878806982,0,0.5,0.5,0.1
98,156,-3.491069165,-1.465932374,0.785520001,0.704050295,1.023208258,0.688480545,294,28,7.831732911,0,1,0.5,0.1
99,157,-3.491069165,-1.465932374,1.171867551,0.703742672,1.023739902,0.688776628,339,48,2.297053307,0,1,0.5,0.072415001
100,158,-3.491069165,-1.465932374,1.558215102,0.704252131,1.022871325,0.687705051,973,1,3.074874339,0.098363801,0.781743733,0.92139984,0.087131489
101,171,-3.491069165,-1.282069749,-1.532565301,0.702472078,1.025940681,0.690580591,978,42,4.050389794,0.019188294,0.981856997,0.605482824,0.033616138
102,172,-3.491069165,-1.282069749,-1.146217751,0.740242382,0.958592805,0.536617936,944,27,7.401422939,0,0.656791838,0.76688092,0.1
103,173,-3.491069165,-1.282069749,-0.759870201,0.703489822,1.024106721,0.688947943,984,10,7.257894984,0,1,0.5,0.1
104,174,-3.491069165,-1.282069749,-0.37352265,0.742758525,0.953880819,0.505147614,329,34,5.883733063,0,0.5,1,0.1
105,175,-3.491069165,-1.282069749,0.0128249,0.743586526,0.95234442,0.503794704,958,11,7.859244588,0,0.5,1,0.1
106,176,-3.491069165,-1.282069749,0.39917245,0.703211069,1.024665289,0.691980284,342,37,1,0,0.5,0.5,0.1
107,177,-3.491069165,-1.282069749,0.785520001,0.704052963,1.023186625,0.688462412,317,7,6.523878938,0,1,0.5,0.1
108,178,-3.491069165,-1.282069749,1.171867551,0.704052576,1.023187294,0.688463136,317,7,6.523678192,0,1,0.5,0.1
109,179,-3.491069165,-1.282069749,1.558215102,0.70306367,1.024921339,0.690192536,958,18,7.472057421,0.061087239,0.85834325,0.582775892,0.026557591
110,192,-3.491069165,-1.098207124,-1.532565301,0.743171193,0.953187223,0.510608495,990,3,1,0,1,1,0.04030642
111,193,-3.491069165,-1.098207124,-1.146217751,0.702551666,1.025761135,0.690529154,958,18,7.472057421,0.061087239,0.85834325,0.582775892,0.026557591
112,194,-3.491069165,-1.098207124,-0.759870201,0.737848458,0.962917449,0.542936849,889,2,1,0,1,1,0.1
113,195,-3.491069165,-1.098207124,-0.37352265,0.706017363,1.01970298,0.686167962,320,29,3.349529655,0,0.5,0.5,0.1
114,196,-3.491069165,-1.098207124,0.0128249,0.740314942,0.958376882,0.54262699,983,3,1,0,1,0.668841848,0.1
