Data Order,Temperature,pCH4_per_pO2,Contact time,Y(C2),R2,RMSE,MAE,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
7401,1187,1.25,0.864,27.08547665,0.750460875,0.939257899,0.500979889,870,21,4.499618019,0.014685125,0.677689136,0.607577671,0.027203308
7402,1187,1.25,0.936,27.08547665,0.750460875,0.939257899,0.500979889,940,31,4.263854603,0.009497717,0.9966288,0.643862053,0.09815759
7403,1187,1.25,1.008,27.08547665,0.750460875,0.939257899,0.500979889,964,17,5.503803778,0.042178138,0.595276693,0.592178426,0.088676845
7404,1187,1.25,1.08,27.08547665,0.750460875,0.939257899,0.500979889,997,15,2.080158742,0.007235758,0.693973917,0.555148839,0.040756175
7405,1187,1.25,1.152,27.08547665,0.750460875,0.939257899,0.500979889,338,20,3.081477778,0.004830561,0.785464054,0.571448487,0.066782416
7406,1187,1.25,1.224,27.08547665,0.750460875,0.939257899,0.500979889,946,27,4.060167685,0.005694793,0.926135012,0.508719824,0.027336293
7407,1187,1.25,1.296,27.08547665,0.750460875,0.939257899,0.500979889,791,9,7.483631935,0.029881205,0.706942107,0.556307486,0.091474899
7408,1187,1.25,1.368,27.08547665,0.750460875,0.939257899,0.500979889,917,8,2.331975096,0.0016636,0.998549906,0.596146353,0.031187177
7409,1187,1.25,1.44,27.08547665,0.750460875,0.939257899,0.500979889,491,4,4.461513255,0.043194866,0.788140397,0.61518591,0.03036566
6054,1117.4,1,0.648,23.80998847,0.709509399,1.013517761,0.682360106,529,10,3.992960196,0.002596936,0.680665187,0.563553532,0.043599981
6055,1117.4,1,0.72,23.80998847,0.709509399,1.013517761,0.682360106,905,11,4.215625222,0.003473562,0.85626572,0.561517151,0.018725674
6056,1117.4,1,0.792,23.80998847,0.709509399,1.013517761,0.682360106,657,20,7.174987797,0.083687504,0.888041054,0.556604901,0.071454707
6057,1117.4,1,0.864,23.80998847,0.709509399,1.013517761,0.682360106,666,3,1.007099235,0.03670161,0.6282771,0.906268326,0.056241351
6058,1117.4,1,0.936,23.80998847,0.709509399,1.013517761,0.682360106,749,37,3.611044291,0.013086855,0.785249712,0.57064076,0.050909824
6059,1117.4,1,1.008,23.80998847,0.709509399,1.013517761,0.682360106,1000,24,5.628421331,0.29705458,0.577343801,0.515735232,0.061966132
6060,1117.4,1,1.08,23.80998847,0.709509399,1.013517761,0.682360106,958,10,5.28951505,0.003095558,0.593701921,0.609392388,0.016321272
6061,1117.4,1,1.152,23.80998847,0.709509399,1.013517761,0.682360106,599,49,2.956787555,0.001935943,0.539336305,0.640196689,0.048695945
6062,1117.4,1,1.224,23.80998847,0.709509399,1.013517761,0.682360106,309,2,1.616307236,0.033258499,0.718656297,0.713436709,0.077678206
6063,1117.4,1,1.296,23.80998847,0.709509399,1.013517761,0.682360106,601,30,2.13588252,0.009443183,0.695173689,0.631984766,0.073665809
6064,1117.4,1,1.368,23.80998847,0.709509399,1.013517761,0.682360106,609,17,4.468749698,0.015439675,0.510588757,0.627448931,0.060549457
6065,1117.4,1,1.44,23.80998847,0.709509399,1.013517761,0.682360106,581,15,2.007835353,0.015468555,0.667163756,0.602313694,0.091067313
6075,1117.4,1.25,0.648,23.80998847,0.709509399,1.013517761,0.682360106,591,24,6.500171696,0.007533687,0.793974014,0.549673004,0.0428881
6076,1117.4,1.25,0.72,23.80998847,0.709509399,1.013517761,0.682360106,824,6,3.048744071,0.004777149,0.933803737,0.612830195,0.025891493
6077,1117.4,1.25,0.792,23.80998847,0.709509399,1.013517761,0.682360106,240,48,7.826356445,0.009128456,0.776340185,0.634922575,0.095544875
6078,1117.4,1.25,0.864,23.80998847,0.709509399,1.013517761,0.682360106,813,25,2.852402523,0.010585384,0.790830267,0.564730061,0.099747394
6079,1117.4,1.25,0.936,23.80998847,0.709509399,1.013517761,0.682360106,569,19,2.174397898,0.007940192,0.522374445,0.557543563,0.044934722
6080,1117.4,1.25,1.008,23.80998847,0.709509399,1.013517761,0.682360106,608,42,2.615225705,0.007476281,0.861540835,0.53731873,0.082546724
6081,1117.4,1.25,1.08,23.80998847,0.709509399,1.013517761,0.682360106,593,32,3.069911935,0.012569165,0.543247053,0.839937842,0.064238726
6082,1117.4,1.25,1.152,23.80998847,0.709509399,1.013517761,0.682360106,446,42,3.098145651,0.01371107,0.663210762,0.611506067,0.049433023
6083,1117.4,1.25,1.224,23.80998847,0.709509399,1.013517761,0.682360106,196,15,2.523121032,0.181093664,0.646275217,0.574571801,0.077865782
6084,1117.4,1.25,1.296,23.80998847,0.709509399,1.013517761,0.682360106,627,23,4.523047207,0.021370075,0.714525623,0.518432818,0.09178609
6085,1117.4,1.25,1.368,23.80998847,0.709509399,1.013517761,0.682360106,975,13,6.031129159,0.028019601,0.633125762,0.633912401,0.081011426
