Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
1024.6,5.75,0.288,5.243118849
1024.6,5.75,0.36,11.65059649
1024.6,5.75,0.432,7.399032146
1024.6,5.75,0.504,7.399032146
1024.6,6.0,0.072,11.01557307
1024.6,6.0,0.144,6.627617219
1024.6,6.0,0.216,5.243118849
1024.6,6.0,0.288,5.243118849
1024.6,6.0,0.36,11.65059649
1024.6,6.0,0.432,7.399032146
1024.6,6.0,0.504,7.399032146
1047.8,4.0,0.072,11.81698257
1047.8,4.0,0.144,7.42902672
1047.8,4.0,0.216,6.028621222
1047.8,4.0,0.288,6.028621222
1047.8,4.0,0.36,12.51710453
1047.8,4.0,0.432,8.367190632
1047.8,4.0,0.504,8.367190632
1047.8,4.25,0.072,11.81698257
1047.8,4.25,0.144,7.42902672
1047.8,4.25,0.216,6.028621222
1047.8,4.25,0.288,6.028621222
1047.8,4.25,0.36,12.51710453
1047.8,4.25,0.432,8.367190632
1047.8,4.25,0.504,8.367190632
1047.8,4.5,0.072,11.81698257
1047.8,4.5,0.144,7.42902672
1047.8,4.5,0.216,6.028621222
1047.8,4.5,0.288,6.028621222
1047.8,4.5,0.36,12.51710453
1047.8,4.5,0.432,8.367190632
1047.8,4.5,0.504,8.367190632
1047.8,4.75,0.072,11.81698257
1047.8,4.75,0.144,7.42902672
1047.8,4.75,0.216,6.028621222
1047.8,4.75,0.288,6.028621222
1047.8,4.75,0.36,12.51710453
1047.8,4.75,0.432,8.367190632
1047.8,4.75,0.504,8.367190632
1047.8,5.0,0.072,11.0635002
1047.8,5.0,0.144,6.675544348
1047.8,5.0,0.216,5.255405016
1047.8,5.0,0.288,5.255405016
1047.8,5.0,0.36,11.74387949
1047.8,5.0,0.432,7.59397001
1047.8,5.0,0.504,7.59397001
1047.8,5.25,0.072,11.0635002
1047.8,5.25,0.144,6.675544348
1047.8,5.25,0.216,5.255405016
1047.8,5.25,0.288,5.255405016
1047.8,5.25,0.36,11.74387949
1047.8,5.25,0.432,7.59397001
1047.8,5.25,0.504,7.59397001
1047.8,5.5,0.072,11.0635002
1047.8,5.5,0.144,6.675544348
1047.8,5.5,0.216,5.255405016
1047.8,5.5,0.288,5.255405016
1047.8,5.5,0.36,11.74387949
1047.8,5.5,0.432,7.59397001
1047.8,5.5,0.504,7.59397001
1047.8,5.75,0.072,11.0635002
1047.8,5.75,0.144,6.675544348
1047.8,5.75,0.216,5.255405016
1047.8,5.75,0.288,5.255405016
1047.8,5.75,0.36,11.74387949
1047.8,5.75,0.432,7.59397001
1047.8,5.75,0.504,7.59397001
1047.8,6.0,0.072,11.0635002
1047.8,6.0,0.144,6.675544348
1047.8,6.0,0.216,5.255405016
1047.8,6.0,0.288,5.255405016
1047.8,6.0,0.36,11.74387949
1047.8,6.0,0.432,7.59397001
1047.8,6.0,0.504,7.59397001
1071.0,4.0,0.072,12.72221186
1071.0,4.0,0.144,8.023590922
1071.0,4.0,0.216,6.430188334
1071.0,4.0,0.288,6.430188334
1071.0,4.0,0.36,12.66628608
1071.0,4.0,0.432,8.516371441
1071.0,4.0,0.504,8.516371441
1071.0,4.25,0.072,12.72221186
1071.0,4.25,0.144,8.023590922
1071.0,4.25,0.216,6.430188334
1071.0,4.25,0.288,6.430188334
1071.0,4.25,0.36,12.66628608
1071.0,4.25,0.432,8.516371441
1071.0,4.25,0.504,8.516371441
1071.0,4.5,0.072,12.72221186
