Mg_C_mol%,Nb_C_mol%,Fe_C_mol%,K_C_mol%,Na_C_mol%,Ce_C_mol%,Rh_C_mol%,Ag_C_mol%,La_C_mol%,Ga_C_mol%,Cs_C_mol%, Na _C_mol%,Pt_C_mol%,Mn_C_mol%,W_C_mol%,Zr_C_mol%,Na _C_mol%,Li_C_mol%,Ti_C_mol%,Ir_C_mol%,Sn_C_mol%,Ge_C_mol%,P_A_mol%,S_A_mol%,Cl_A_mol%,Si_S_mol%,Ca_S_mol%,Al_S_mol%,La_S_mol%,Mg_S_mol%,C_S_mol%,Ti_S_mol%,Fe_S_mol%,Zr_S_mol%,Sr_S_mol%,Preparation,Temperature,p(CH4),p(O2),p(CH4)/p(O2),p total,Contact time,X(CH4),S(C2),Y(C2)
0.0,0.0,0.0,0.0,13.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.73,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.71,3.45,0.0,77.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1023,0.6,0.2,3.0,1.0,0.23,46.3,51.1,23.6
0.0,0.0,0.0,0.0,13.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.73,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.71,3.45,0.0,77.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1023,0.6,0.2,3.0,1.0,0.23,44.7,56.3,25.2
0.0,0.0,0.0,0.0,13.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.73,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.71,3.45,0.0,77.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1023,0.6,0.2,3.0,1.0,0.23,44.4,56.0,24.8
0.0,0.0,0.0,0.0,13.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.73,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.71,3.45,0.0,77.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1023,0.6,0.2,3.0,1.0,0.23,29.5,50.7,14.9
0.0,0.0,0.0,0.0,13.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.73,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.71,3.45,0.0,77.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1023,0.6,0.2,3.0,1.0,0.23,44.0,52.5,23.1
0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1083,0.83,0.17,4.9,1.0,0.04,18.0,68.0,12.2
0.0,0.0,0.0,0.0,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.21,60.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1023,0.06,0.04,1.6,1.0,0.02,55.0,61.2,33.7
0.0,0.0,0.0,17.48,14.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.28,35.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1023,0.06,0.04,1.6,1.0,0.0,45.1,67.8,30.6
0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1023,0.06,0.04,1.6,1.0,0.0,8.2,63.4,5.2
0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,21.18,0.0,0.0,1.61,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.21,57.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1023,0.06,0.04,1.6,1.0,0.0,30.1,72.0,21.7
