Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
1032.333333,2.111111111,0.8,11.96682883
1032.333333,2.111111111,0.96,11.96682883
1032.333333,2.111111111,1.12,11.96682883
1032.333333,2.111111111,1.28,11.96682883
1032.333333,2.111111111,1.44,11.96682883
1032.333333,2.666666667,0,16.08872095
1032.333333,2.666666667,0.16,13.01093622
1032.333333,2.666666667,0.32,9.0917458
1032.333333,2.666666667,0.48,11.50777132
1032.333333,2.666666667,0.64,14.16452341
1032.333333,2.666666667,0.8,14.16452341
1032.333333,2.666666667,0.96,14.16452341
1032.333333,2.666666667,1.12,14.16452341
1032.333333,2.666666667,1.28,14.16452341
1032.333333,2.666666667,1.44,14.16452341
1032.333333,3.222222222,0,16.00186352
1032.333333,3.222222222,0.16,11.56767213
1032.333333,3.222222222,0.32,7.620108801
1032.333333,3.222222222,0.48,9.985192055
1032.333333,3.222222222,0.64,12.64194856
1032.333333,3.222222222,0.8,12.64194856
1032.333333,3.222222222,0.96,12.64194856
1032.333333,3.222222222,1.12,12.64194856
1032.333333,3.222222222,1.28,12.64194856
1032.333333,3.222222222,1.44,12.64194856
1032.333333,3.777777778,0,16.00186352
1032.333333,3.777777778,0.16,11.56767213
1032.333333,3.777777778,0.32,7.620108801
1032.333333,3.777777778,0.48,9.985192055
1032.333333,3.777777778,0.64,12.64194856
1032.333333,3.777777778,0.8,12.64194856
1032.333333,3.777777778,0.96,12.64194856
1032.333333,3.777777778,1.12,12.64194856
1032.333333,3.777777778,1.28,12.64194856
1032.333333,3.777777778,1.44,12.64194856
1032.333333,4.333333333,0,14.64792432
1032.333333,4.333333333,0.16,9.963900596
1032.333333,4.333333333,0.32,6.016338736
1032.333333,4.333333333,0.48,8.172252768
1032.333333,4.333333333,0.64,10.59707489
1032.333333,4.333333333,0.8,10.59707489
1032.333333,4.333333333,0.96,10.59707489
1032.333333,4.333333333,1.12,10.59707489
1032.333333,4.333333333,1.28,10.59707489
1032.333333,4.333333333,1.44,10.59707489
1032.333333,4.888888889,0,14.64792432
1032.333333,4.888888889,0.16,9.963900596
1032.333333,4.888888889,0.32,6.016338736
1032.333333,4.888888889,0.48,8.172252768
1032.333333,4.888888889,0.64,10.59707489
1032.333333,4.888888889,0.8,10.59707489
1032.333333,4.888888889,0.96,10.59707489
1032.333333,4.888888889,1.12,10.59707489
1032.333333,4.888888889,1.28,10.59707489
1032.333333,4.888888889,1.44,10.59707489
1032.333333,5.444444444,0,13.89444784
1032.333333,5.444444444,0.16,9.190679237
1032.333333,5.444444444,0.32,5.243118849
1032.333333,5.444444444,0.48,7.399032146
1032.333333,5.444444444,0.64,9.823854268
1032.333333,5.444444444,0.8,9.823854268
1032.333333,5.444444444,0.96,9.823854268
1032.333333,5.444444444,1.12,9.823854268
1032.333333,5.444444444,1.28,9.823854268
1032.333333,5.444444444,1.44,9.823854268
1032.333333,6,0,13.89444784
1032.333333,6,0.16,9.190679237
1032.333333,6,0.32,5.243118849
