Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Mean_MC,std_MC,abs_error_MC
1094.2,2.0,0.288,15.3612353,10.778913,9.0490675,4.582322755749512
1094.2,2.0,0.36,21.25410801,11.450593,9.666927,9.803515015310058
1094.2,2.0,0.432,18.06303041,10.947419,9.197903,7.115611243435058
1094.2,2.0,0.504,18.06303041,10.947419,9.197903,7.115611243435058
1094.2,2.0,0.576,21.33955063,10.947419,9.197903,10.39213146343506
1094.2,2.0,0.648,21.33955063,10.947419,9.197903,10.39213146343506
1094.2,2.0,0.72,21.33955063,10.947419,9.197903,10.39213146343506
1094.2,2.0,0.792,21.33955063,10.947419,9.197903,10.39213146343506
1094.2,2.0,0.864,21.33955063,10.947419,9.197903,10.39213146343506
1094.2,2.0,0.936,21.33955063,10.947419,9.197903,10.39213146343506
1094.2,2.0,1.008,21.33955063,10.947419,9.197903,10.39213146343506
1094.2,2.0,1.08,21.33955063,10.947419,9.197903,10.39213146343506
1094.2,2.0,1.152,21.33955063,10.947419,9.197903,10.39213146343506
1094.2,2.0,1.224,21.33955063,10.947419,9.197903,10.39213146343506
1094.2,2.0,1.296,21.33955063,10.947419,9.197903,10.39213146343506
1094.2,2.0,1.368,21.33955063,10.947419,9.197903,10.39213146343506
1094.2,2.0,1.44,21.33955063,10.947419,9.197903,10.39213146343506
1094.2,2.25,0.0,22.90703599,11.505609,9.7077055,11.401427431345216
1094.2,2.25,0.072,21.11633776,11.7234,9.93242,9.392937644033204
1094.2,2.25,0.144,15.79482756,10.788738,9.0588875,5.006089309267578
1094.2,2.25,0.216,14.66775238,10.778913,9.0490675,3.8888398357495113
1094.2,2.25,0.288,14.66775238,10.778913,9.0490675,3.8888398357495113
1094.2,2.25,0.36,20.62827281,11.450593,9.666927,9.177679815310055
1094.2,2.25,0.432,16.51928924,10.947419,9.197903,5.571870073435058
1094.2,2.25,0.504,16.51928924,10.947419,9.197903,5.571870073435058
1094.2,2.25,0.576,19.07068527,10.947419,9.197903,8.123266103435057
1094.2,2.25,0.648,19.07068527,10.947419,9.197903,8.123266103435057
1094.2,2.25,0.72,19.07068527,10.947419,9.197903,8.123266103435057
1094.2,2.25,0.792,19.07068527,10.947419,9.197903,8.123266103435057
1094.2,2.25,0.864,19.07068527,10.947419,9.197903,8.123266103435057
1094.2,2.25,0.936,19.07068527,10.947419,9.197903,8.123266103435057
1094.2,2.25,1.008,19.07068527,10.947419,9.197903,8.123266103435057
1094.2,2.25,1.08,19.07068527,10.947419,9.197903,8.123266103435057
1094.2,2.25,1.152,19.07068527,10.947419,9.197903,8.123266103435057
1094.2,2.25,1.224,19.07068527,10.947419,9.197903,8.123266103435057
1094.2,2.25,1.296,19.07068527,10.947419,9.197903,8.123266103435057
1094.2,2.25,1.368,19.07068527,10.947419,9.197903,8.123266103435057
1094.2,2.25,1.44,19.07068527,10.947419,9.197903,8.123266103435057
1094.2,2.5,0.0,22.42167848,11.505609,9.7077055,10.916069921345215
1094.2,2.5,0.072,20.87698773,11.7234,9.93242,9.153587614033205
1094.2,2.5,0.144,15.55547753,10.788738,9.0588875,4.766739279267577
1094.2,2.5,0.216,14.42840235,10.778913,9.0490675,3.649489805749512
1094.2,2.5,0.288,14.42840235,10.778913,9.0490675,3.649489805749512
1094.2,2.5,0.36,20.38892277,11.450593,9.666927,8.93832977531006
1094.2,2.5,0.432,16.27993921,10.947419,9.197903,5.332520043435057
1094.2,2.5,0.504,16.27993921,10.947419,9.197903,5.332520043435057
1094.2,2.5,0.576,18.83133524,10.947419,9.197903,7.88391607343506
1094.2,2.5,0.648,18.83133524,10.947419,9.197903,7.88391607343506
1094.2,2.5,0.72,18.83133524,10.947419,9.197903,7.88391607343506
1094.2,2.5,0.792,18.83133524,10.947419,9.197903,7.88391607343506
1094.2,2.5,0.864,18.83133524,10.947419,9.197903,7.88391607343506
1094.2,2.5,0.936,18.83133524,10.947419,9.197903,7.88391607343506
1094.2,2.5,1.008,18.83133524,10.947419,9.197903,7.88391607343506
1094.2,2.5,1.08,18.83133524,10.947419,9.197903,7.88391607343506
1094.2,2.5,1.152,18.83133524,10.947419,9.197903,7.88391607343506
1094.2,2.5,1.224,18.83133524,10.947419,9.197903,7.88391607343506
1094.2,2.5,1.296,18.83133524,10.947419,9.197903,7.88391607343506
1094.2,2.5,1.368,18.83133524,10.947419,9.197903,7.88391607343506
1094.2,2.5,1.44,18.83133524,10.947419,9.197903,7.88391607343506
1094.2,2.75,0.0,22.41833357,11.505609,9.7077055,10.912725011345216
1094.2,2.75,0.072,20.9543301,11.7234,9.93242,9.230929984033205
1094.2,2.75,0.144,15.63281991,10.788738,9.0588875,4.844081659267578
1094.2,2.75,0.216,14.47737182,10.778913,9.0490675,3.698459275749512
1094.2,2.75,0.288,14.47737182,10.778913,9.0490675,3.698459275749512
1094.2,2.75,0.36,20.47419903,11.450593,9.666927,9.02360603531006
1094.2,2.75,0.432,16.36521399,10.947419,9.197903,5.41779482343506
1094.2,2.75,0.504,16.36521399,10.947419,9.197903,5.41779482343506
1094.2,2.75,0.576,18.91661296,10.947419,9.197903,7.969193793435057
1094.2,2.75,0.648,18.91661296,10.947419,9.197903,7.969193793435057
1094.2,2.75,0.72,18.91661296,10.947419,9.197903,7.969193793435057
1094.2,2.75,0.792,18.91661296,10.947419,9.197903,7.969193793435057
1094.2,2.75,0.864,18.91661296,10.947419,9.197903,7.969193793435057
1094.2,2.75,0.936,18.91661296,10.947419,9.197903,7.969193793435057
1094.2,2.75,1.008,18.91661296,10.947419,9.197903,7.969193793435057
1094.2,2.75,1.08,18.91661296,10.947419,9.197903,7.969193793435057
1094.2,2.75,1.152,18.91661296,10.947419,9.197903,7.969193793435057
1094.2,2.75,1.224,18.91661296,10.947419,9.197903,7.969193793435057
1094.2,2.75,1.296,18.91661296,10.947419,9.197903,7.969193793435057
1094.2,2.75,1.368,18.91661296,10.947419,9.197903,7.969193793435057
1094.2,2.75,1.44,18.91661296,10.947419,9.197903,7.969193793435057
1094.2,3.0,0.0,22.18488425,11.505609,9.7077055,10.679275691345214
1094.2,3.0,0.072,19.89566378,11.7234,9.93242,8.172263664033203
1094.2,3.0,0.144,14.57415358,10.788738,9.0588875,3.785415329267579
1094.2,3.0,0.216,12.80682413,10.778913,9.0490675,2.0279115857495125
1094.2,3.0,0.288,12.80682413,10.778913,9.0490675,2.0279115857495125
1094.2,3.0,0.36,18.80365134,11.450593,9.666927,7.353058345310057
1094.2,3.0,0.432,14.60741726,10.947419,9.197903,3.659998093435058
1094.2,3.0,0.504,14.60741726,10.947419,9.197903,3.659998093435058
1094.2,3.0,0.576,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.0,0.648,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.0,0.72,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.0,0.792,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.0,0.864,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.0,0.936,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.0,1.008,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.0,1.08,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.0,1.152,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.0,1.224,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.0,1.296,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.0,1.368,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.0,1.44,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.25,0.0,22.18488425,11.505609,9.7077055,10.679275691345214
1094.2,3.25,0.072,19.89566378,11.7234,9.93242,8.172263664033203
1094.2,3.25,0.144,14.57415358,10.788738,9.0588875,3.785415329267579
1094.2,3.25,0.216,12.80682413,10.778913,9.0490675,2.0279115857495125
1094.2,3.25,0.288,12.80682413,10.778913,9.0490675,2.0279115857495125
1094.2,3.25,0.36,18.80365134,11.450593,9.666927,7.353058345310057
1094.2,3.25,0.432,14.60741726,10.947419,9.197903,3.659998093435058
1094.2,3.25,0.504,14.60741726,10.947419,9.197903,3.659998093435058
1094.2,3.25,0.576,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.25,0.648,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.25,0.72,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.25,0.792,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.25,0.864,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.25,0.936,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.25,1.008,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.25,1.08,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.25,1.152,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.25,1.224,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.25,1.296,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.25,1.368,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.25,1.44,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.5,0.0,22.18488425,11.505609,9.7077055,10.679275691345214
