Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Mean_MC,std_MC,abs_error_MC
723.0,1.5,1.08,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.5,1.152,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.5,1.224,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.5,1.296,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.5,1.368,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.5,1.44,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.75,0.0,9.551309758,4.033523,7.898583,5.517786675266846
723.0,1.75,0.072,6.994392112,4.077863,7.8591523,2.9165288955998534
723.0,1.75,0.144,3.243188454,3.3652215,8.416468,0.1220330463967283
723.0,1.75,0.216,2.962152095,3.3649998,8.416721,0.4028476761181641
723.0,1.75,0.288,2.962152095,3.3649998,8.416721,0.4028476761181641
723.0,1.75,0.36,9.589847711,4.0622745,7.883403,5.527573254975831
723.0,1.75,0.432,6.617509592,3.4949603,8.3045225,3.122549283925049
723.0,1.75,0.504,6.617509592,3.4949603,8.3045225,3.122549283925049
723.0,1.75,0.576,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.75,0.648,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.75,0.72,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.75,0.792,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.75,0.864,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.75,0.936,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.75,1.008,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.75,1.08,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.75,1.152,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.75,1.224,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.75,1.296,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.75,1.368,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.75,1.44,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,2.0,0.0,7.930769467,4.033523,7.898583,3.897246384266846
723.0,2.0,0.072,5.287248717,4.077863,7.8591523,1.2093855005998533
723.0,2.0,0.144,1.408573088,3.3652215,8.416468,1.9566484123967285
723.0,2.0,0.216,1.193470945,3.3649998,8.416721,2.171528826118164
723.0,2.0,0.288,1.193470945,3.3649998,8.416721,2.171528826118164
723.0,2.0,0.36,7.821168953,4.0622745,7.883403,3.75889449697583
723.0,2.0,0.432,4.825053139,3.4949603,8.3045225,1.3300928309250493
723.0,2.0,0.504,4.825053139,3.4949603,8.3045225,1.3300928309250493
723.0,2.0,0.576,8.206915799,3.4949603,8.3045225,4.71195549092505
723.0,2.0,0.648,8.206915799,3.4949603,8.3045225,4.71195549092505
723.0,2.0,0.72,8.206915799,3.4949603,8.3045225,4.71195549092505
723.0,2.0,0.792,8.206915799,3.4949603,8.3045225,4.71195549092505
723.0,2.0,0.864,8.206915799,3.4949603,8.3045225,4.71195549092505
723.0,2.0,0.936,8.206915799,3.4949603,8.3045225,4.71195549092505
723.0,2.0,1.008,8.206915799,3.4949603,8.3045225,4.71195549092505
723.0,2.0,1.08,8.206915799,3.4949603,8.3045225,4.71195549092505
723.0,2.0,1.152,8.206915799,3.4949603,8.3045225,4.71195549092505
723.0,2.0,1.224,8.206915799,3.4949603,8.3045225,4.71195549092505
723.0,2.0,1.296,8.206915799,3.4949603,8.3045225,4.71195549092505
723.0,2.0,1.368,8.206915799,3.4949603,8.3045225,4.71195549092505
723.0,2.0,1.44,8.206915799,3.4949603,8.3045225,4.71195549092505
723.0,2.25,0.0,7.046489346,4.033523,7.898583,3.012966263266846
723.0,2.25,0.072,3.494753987,4.077863,7.8591523,0.5831092294001463
723.0,2.25,0.144,0.0,3.3652215,8.416468,3.3652215003967285
