,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
2511,839.0,3.25,0.0,6.887156007
2512,839.0,3.25,0.072,2.836903934
2513,839.0,3.25,0.144,0.0
2514,839.0,3.25,0.216,0.0
2515,839.0,3.25,0.288,0.0
2516,839.0,3.25,0.36,4.696822231
2517,839.0,3.25,0.432,0.695549291
2518,839.0,3.25,0.504,0.695549291
2519,839.0,3.25,0.576,3.352292825
2532,839.0,3.4999999999999996,0.0,6.887156007
2533,839.0,3.4999999999999996,0.072,2.836903934
2534,839.0,3.4999999999999996,0.144,0.0
2535,839.0,3.4999999999999996,0.216,0.0
2536,839.0,3.4999999999999996,0.288,0.0
2537,839.0,3.4999999999999996,0.36,4.696822231
2538,839.0,3.4999999999999996,0.432,0.695549291
2539,839.0,3.4999999999999996,0.504,0.695549291
2540,839.0,3.4999999999999996,0.576,3.352292825
2553,839.0,3.75,0.0,6.887156007
2554,839.0,3.75,0.072,2.836903934
2555,839.0,3.75,0.144,0.0
2556,839.0,3.75,0.216,0.0
2557,839.0,3.75,0.288,0.0
2558,839.0,3.75,0.36,4.696822231
2559,839.0,3.75,0.432,0.695549291
2560,839.0,3.75,0.504,0.695549291
2561,839.0,3.75,0.576,3.352292825
2574,839.0,4.0,0.0,5.678959586
2575,839.0,4.0,0.072,2.012875387
2576,839.0,4.0,0.144,0.0
2577,839.0,4.0,0.216,0.0
2578,839.0,4.0,0.288,0.0
2579,839.0,4.0,0.36,3.029642463
2580,839.0,4.0,0.432,0.0
2581,839.0,4.0,0.504,0.0
2582,839.0,4.0,0.576,1.453188977
2595,839.0,4.25,0.0,5.678959586
2596,839.0,4.25,0.072,2.012875387
2597,839.0,4.25,0.144,0.0
2598,839.0,4.25,0.216,0.0
2599,839.0,4.25,0.288,0.0
2600,839.0,4.25,0.36,3.029642463
2601,839.0,4.25,0.432,0.0
2602,839.0,4.25,0.504,0.0
2603,839.0,4.25,0.576,1.453188977
2616,839.0,4.499999999999999,0.0,5.678959586
2617,839.0,4.499999999999999,0.072,2.012875387
2618,839.0,4.499999999999999,0.144,0.0
2619,839.0,4.499999999999999,0.216,0.0
2620,839.0,4.499999999999999,0.288,0.0
2621,839.0,4.499999999999999,0.36,3.029642463
2622,839.0,4.499999999999999,0.432,0.0
2623,839.0,4.499999999999999,0.504,0.0
2624,839.0,4.499999999999999,0.576,1.453188977
2637,839.0,4.749999999999999,0.0,5.678959586
2638,839.0,4.749999999999999,0.072,2.012875387
2639,839.0,4.749999999999999,0.144,0.0
2640,839.0,4.749999999999999,0.216,0.0
2641,839.0,4.749999999999999,0.288,0.0
2642,839.0,4.749999999999999,0.36,3.029642463
2643,839.0,4.749999999999999,0.432,0.0
2644,839.0,4.749999999999999,0.504,0.0
2645,839.0,4.749999999999999,0.576,1.453188977
2658,839.0,5.0,0.0,5.016068602
2659,839.0,5.0,0.072,1.349984495
2660,839.0,5.0,0.144,0.0
2661,839.0,5.0,0.216,0.0
2662,839.0,5.0,0.288,0.0
2663,839.0,5.0,0.36,2.347010836
2664,839.0,5.0,0.432,0.0
2665,839.0,5.0,0.504,0.0
2666,839.0,5.0,0.576,0.770557994
2679,839.0,5.25,0.0,5.016068602
2680,839.0,5.25,0.072,1.349984495
2681,839.0,5.25,0.144,0.0
2682,839.0,5.25,0.216,0.0
2683,839.0,5.25,0.288,0.0
2684,839.0,5.25,0.36,2.347010836
2685,839.0,5.25,0.432,0.0
2686,839.0,5.25,0.504,0.0
2687,839.0,5.25,0.576,0.770557994
2700,839.0,5.5,0.0,5.016068602
2701,839.0,5.5,0.072,1.349984495
2702,839.0,5.5,0.144,0.0
2703,839.0,5.5,0.216,0.0
2704,839.0,5.5,0.288,0.0
2705,839.0,5.5,0.36,2.347010836
2706,839.0,5.5,0.432,0.0
2707,839.0,5.5,0.504,0.0
2708,839.0,5.5,0.576,0.770557994
2721,839.0,5.75,0.0,5.016068602
2722,839.0,5.75,0.072,1.349984495
2723,839.0,5.75,0.144,0.0
2724,839.0,5.75,0.216,0.0
2725,839.0,5.75,0.288,0.0
2726,839.0,5.75,0.36,2.347010836
2727,839.0,5.75,0.432,0.0
2728,839.0,5.75,0.504,0.0
2729,839.0,5.75,0.576,0.770557994
2742,839.0,6.000000000000001,0.0,5.016068602
2743,839.0,6.000000000000001,0.072,1.349984495
2744,839.0,6.000000000000001,0.144,0.0
2745,839.0,6.000000000000001,0.216,0.0
2746,839.0,6.000000000000001,0.288,0.0
2747,839.0,6.000000000000001,0.36,2.347010836
2748,839.0,6.000000000000001,0.432,0.0
2749,839.0,6.000000000000001,0.504,0.0
2750,839.0,6.000000000000001,0.576,0.770557994
2805,862.2,1.5000000000000002,0.0,9.551309758
2806,862.2,1.5000000000000002,0.072,6.994392112
2807,862.2,1.5000000000000002,0.144,3.243188454
2808,862.2,1.5000000000000002,0.216,2.962152095
2809,862.2,1.5000000000000002,0.288,2.962152095
2810,862.2,1.5000000000000002,0.36,9.589847711
2811,862.2,1.5000000000000002,0.432,6.617509592
2812,862.2,1.5000000000000002,0.504,6.617509592
2813,862.2,1.5000000000000002,0.576,9.933110279
2826,862.2,1.75,0.0,9.551309758
2827,862.2,1.75,0.072,6.994392112
2828,862.2,1.75,0.144,3.243188454
2829,862.2,1.75,0.216,2.962152095
2830,862.2,1.75,0.288,2.962152095
2831,862.2,1.75,0.36,9.589847711
2832,862.2,1.75,0.432,6.617509592
2833,862.2,1.75,0.504,6.617509592
2834,862.2,1.75,0.576,9.933110279
2847,862.2,2.0,0.0,7.930769467
2848,862.2,2.0,0.072,5.287248717
2849,862.2,2.0,0.144,1.408573088
2850,862.2,2.0,0.216,1.193470945
2851,862.2,2.0,0.288,1.193470945
2852,862.2,2.0,0.36,7.821168953
2853,862.2,2.0,0.432,4.825053139
2854,862.2,2.0,0.504,4.825053139
2855,862.2,2.0,0.576,8.206915799
2868,862.2,2.25,0.0,7.046489346
2869,862.2,2.25,0.072,3.494753987
2870,862.2,2.25,0.144,0.0
2871,862.2,2.25,0.216,0.0
2872,862.2,2.25,0.288,0.0
2873,862.2,2.25,0.36,5.958626398
2874,862.2,2.25,0.432,2.044605542
2875,862.2,2.25,0.504,2.044605542
2876,862.2,2.25,0.576,4.701343831
2889,862.2,2.5,0.0,6.782047281
2890,862.2,2.5,0.072,3.4763208720000005
2891,862.2,2.5,0.144,0.0
2892,862.2,2.5,0.216,0.0
2893,862.2,2.5,0.288,0.0
2894,862.2,2.5,0.36,5.940193284
2895,862.2,2.5,0.432,2.026172611
2896,862.2,2.5,0.504,2.026172611
2897,862.2,2.5,0.576,4.682910717
2910,862.2,2.75,0.0,6.560958847
2911,862.2,2.75,0.072,3.335918263
2912,862.2,2.75,0.144,0.0
