Mg_C_mol%,Na_C_mol%,Ce_C_mol%,La_C_mol%,Mn_C_mol%,W_C_mol%,Zr_C_mol%,Ti_C_mol%,P_A_mol%,S_A_mol%,Si_S_mol%,Mg_S_mol%,C_S_mol%,Ti_S_mol%,Preparation,Temperature,p(CH4)/p(O2),p total,Contact time,Y(C2)
0.0,6.16,0.0,0.0,24.7,3.08,0.0,0.0,0.0,0.0,66.06,0.0,0.0,0.0,1,973,3.0,1.0,0.07,3.5
0.0,5.67,0.0,0.0,22.74,2.84,0.0,0.0,0.0,0.0,68.76,0.0,0.0,0.0,1,973,3.0,1.0,0.07,3.5
0.0,5.18,0.0,0.0,20.77,2.59,0.0,0.0,0.0,0.0,71.46,0.0,0.0,0.0,1,973,3.0,1.0,0.07,4.8
0.0,4.68,0.0,0.0,18.79,2.34,0.0,0.0,0.0,0.0,74.18,0.0,0.0,0.0,1,973,3.0,1.0,0.07,5.0
0.0,4.18,0.0,0.0,16.78,2.09,0.0,0.0,0.0,0.0,76.94,0.0,0.0,0.0,1,973,3.0,1.0,0.07,6.8
0.0,3.68,0.0,0.0,14.75,1.84,0.0,0.0,0.0,0.0,79.73,0.0,0.0,0.0,1,973,3.0,1.0,0.07,8.2
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,873,6.0,0.4,0.23,0.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,923,6.0,0.4,0.23,0.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,948,6.0,0.4,0.23,1.9
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,973,6.0,0.4,0.23,16.7
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,873,6.0,0.4,0.25,0.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,923,6.0,0.4,0.25,0.1
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,948,6.0,0.4,0.25,2.1
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,973,6.0,0.4,0.25,14.5
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,983,6.0,0.4,0.25,15.7
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,988,6.0,0.4,0.25,16.4
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,873,6.0,0.4,0.28,0.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,923,6.0,0.4,0.28,0.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,948,6.0,0.4,0.28,1.8
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,973,6.0,0.4,0.28,4.9
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,983,6.0,0.4,0.28,15.3
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,998,6.0,0.4,0.28,16.3
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,873,3.0,0.3,0.23,0.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,923,3.0,0.3,0.23,0.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,948,3.0,0.3,0.23,0.3
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,973,3.0,0.3,0.23,23.6
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,948,3.0,0.3,0.23,0.6
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,973,3.0,0.3,0.23,23.9
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,948,3.0,0.3,0.23,1.6
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,973,3.0,0.3,0.23,3.4
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1003,3.0,0.3,0.23,24.3
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1008,3.0,0.3,0.23,24.7
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,873,3.0,0.2,0.28,0.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,923,3.0,0.2,0.28,0.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,973,3.0,0.2,0.28,0.6
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,1008,3.0,0.2,0.28,23.7
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,873,4.0,0.2,0.28,0.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,923,4.0,0.2,0.28,0.0
0.0,3.62,0.0,0.0,1.62,0.68,0.0,0.0,0.0,0.0,94.07,0.0,0.0,0.0,1,973,4.0,0.2,0.28,1.5
