Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,Temperature,p(CH4),p(O2),p(CH4)/p(O2),p total,Contact time,X(O2),X(CH4),S(COx),S(C2=),S(C2-),S(C2),Y(C2)
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.42,,34.4,47.1,,,30.1,10.2
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.36,,28.6,46.4,,,27.9,7.9
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,998,,,2,1,0.6,,38.6,46.6,33.7,19.7,53.4,20.6
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,998,,,3,1,0.6,,25.8,39.3,43,17.7,60.7,15.7
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,998,,,4,1,0.6,,17.1,29.8,37,33.2,70.2,12
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,998,,,4.5,1,0.6,,13.9,42,30,28,58,8
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,998,,,2,1,0.6,,17.3,47.3,31.8,20.9,52.7,9.1
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,998,,,3,1,0.6,,22.4,46.9,24.5,28.6,53.1,11.9
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,998,,,3.5,1,0.6,,25.5,46.1,30.3,23.6,53.9,13.7
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1023,,,2,1,0.6,,50.2,52.7,40.3,7,47.3,23.7
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1023,,,3,1,0.6,,40.3,41.5,46.5,12,58.5,23.6
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1023,,,4,1,0.6,,27.8,26.3,49,24.7,73.7,20.5
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1023,,,4.5,1,0.6,,22.2,32.6,41.4,25.9,67.4,15
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1023,,,2,1,0.6,,44.8,24.7,61.8,13.5,75.3,33.8
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1023,,,3,1,0.6,,32.6,42.1,34.6,23.3,57.9,18.9
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1023,,,3.5,1,0.6,,31.4,40.9,39.3,19.8,59.1,18.6
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1048,,,2,1,0.6,,34.1,20.3,66.1,13.6,79.7,27.2
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1048,,,3,1,0.6,,32,21.1,62.9,16,78.9,25.2
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1048,,,4,1,0.6,,25.4,11.6,64.9,23.5,88.4,22.5
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1048,,,4.5,1,0.6,,19.6,16.3,53.1,30.6,83.7,16.4
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1048,,,2,1,0.6,,35.5,10.7,64.7,24.5,89.3,31.7
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1048,,,3,1,0.6,,34.9,22.8,49.7,27.4,77.2,27
Sn,33.33,Ti,33.33,Ba,33.33,,,,,,,,,,,,,,,,,,Ceramic method,1048,,,3.5,1,0.6,,24.9,33,45.3,21.7,67,16.7
