Mg_C_mol%,Na_C_mol%,Ce_C_mol%,La_C_mol%,Mn_C_mol%,W_C_mol%,Zr_C_mol%,Ti_C_mol%,P_A_mol%,S_A_mol%,Si_S_mol%,Mg_S_mol%,C_S_mol%,Ti_S_mol%,Preparation,Temperature,p(CH4)/p(O2),p total,Contact time,Y(C2)
0.0,2.12,0.44,0.0,2.26,1.06,0.0,0.0,0.0,0.0,94.12,0.0,0.0,0.0,1.0,1113.0,6.0,1.0,0.04,14.0
0.0,2.12,0.44,0.0,2.26,1.06,0.0,0.0,0.0,0.0,94.12,0.0,0.0,0.0,1.0,1053.0,3.0,1.0,0.04,1.6
0.0,2.12,0.44,0.0,2.26,1.06,0.0,0.0,0.0,0.0,94.12,0.0,0.0,0.0,1.0,1073.0,3.0,1.0,0.04,7.6
0.0,2.12,0.44,0.0,2.26,1.06,0.0,0.0,0.0,0.0,94.12,0.0,0.0,0.0,1.0,1093.0,3.0,1.0,0.04,16.0
0.0,2.12,0.44,0.0,2.26,1.06,0.0,0.0,0.0,0.0,94.12,0.0,0.0,0.0,1.0,1133.0,3.0,1.0,0.04,14.7
0.0,2.12,0.44,0.0,2.26,1.06,0.0,0.0,0.0,0.0,94.12,0.0,0.0,0.0,1.0,1153.0,3.0,1.0,0.04,13.7
0.0,2.12,0.44,0.0,2.26,1.06,0.0,0.0,0.0,0.0,94.12,0.0,0.0,0.0,1.0,1173.0,3.0,1.0,0.04,13.6
0.0,2.11,0.22,0.0,2.26,1.05,0.0,0.0,0.0,0.0,94.36,0.0,0.0,0.0,1.0,1113.0,3.0,1.0,0.04,16.7
0.0,2.11,0.22,0.0,2.26,1.05,0.0,0.0,0.0,0.0,94.36,0.0,0.0,0.0,1.0,1113.0,4.0,1.0,0.04,15.3
0.0,2.11,0.22,0.0,2.26,1.05,0.0,0.0,0.0,0.0,94.36,0.0,0.0,0.0,1.0,1113.0,5.0,1.0,0.04,13.2
0.0,2.11,0.22,0.0,2.26,1.05,0.0,0.0,0.0,0.0,94.36,0.0,0.0,0.0,1.0,1113.0,6.0,1.0,0.04,12.6
0.0,2.11,0.22,0.0,2.26,1.05,0.0,0.0,0.0,0.0,94.36,0.0,0.0,0.0,1.0,1053.0,3.0,1.0,0.04,1.4
0.0,2.11,0.22,0.0,2.26,1.05,0.0,0.0,0.0,0.0,94.36,0.0,0.0,0.0,1.0,1073.0,3.0,1.0,0.04,6.5
0.0,2.11,0.22,0.0,2.26,1.05,0.0,0.0,0.0,0.0,94.36,0.0,0.0,0.0,1.0,1093.0,3.0,1.0,0.04,13.9
0.0,2.11,0.22,0.0,2.26,1.05,0.0,0.0,0.0,0.0,94.36,0.0,0.0,0.0,1.0,1133.0,3.0,1.0,0.04,13.8
0.0,2.11,0.22,0.0,2.26,1.05,0.0,0.0,0.0,0.0,94.36,0.0,0.0,0.0,1.0,1153.0,3.0,1.0,0.04,13.5
0.0,2.11,0.22,0.0,2.26,1.05,0.0,0.0,0.0,0.0,94.36,0.0,0.0,0.0,1.0,1173.0,3.0,1.0,0.04,12.9
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1113.0,3.0,1.0,0.04,13.8
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1113.0,4.0,1.0,0.04,14.7
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1113.0,5.0,1.0,0.04,12.6
