,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
5592,1001.4,3,1.08,5.767385684
5593,1001.4,3,1.152,5.767385684
5594,1001.4,3,1.224,5.767385684
5595,1001.4,3,1.296,5.767385684
5596,1001.4,3,1.368,5.767385684
5597,1001.4,3,1.44,5.767385684
5598,1001.4,3.25,0,8.748752651
5599,1001.4,3.25,0.072,5.405141225
5600,1001.4,3.25,0.144,1.333779883
5601,1001.4,3.25,0.216,0.456602098
5602,1001.4,3.25,0.288,0.456602098
5603,1001.4,3.25,0.36,7.188249356
5604,1001.4,3.25,0.432,3.110646842
5605,1001.4,3.25,0.504,3.110646842
5606,1001.4,3.25,0.576,5.767385684
5607,1001.4,3.25,0.648,5.767385684
5608,1001.4,3.25,0.72,5.767385684
5609,1001.4,3.25,0.792,5.767385684
5610,1001.4,3.25,0.864,5.767385684
5611,1001.4,3.25,0.936,5.767385684
5612,1001.4,3.25,1.008,5.767385684
5613,1001.4,3.25,1.08,5.767385684
5614,1001.4,3.25,1.152,5.767385684
5615,1001.4,3.25,1.224,5.767385684
5616,1001.4,3.25,1.296,5.767385684
5617,1001.4,3.25,1.368,5.767385684
5618,1001.4,3.25,1.44,5.767385684
5619,1001.4,3.5,0,8.748752651
5620,1001.4,3.5,0.072,5.405141225
5621,1001.4,3.5,0.144,1.333779883
5622,1001.4,3.5,0.216,0.456602098
5623,1001.4,3.5,0.288,0.456602098
5624,1001.4,3.5,0.36,7.188249356
5625,1001.4,3.5,0.432,3.110646842
5626,1001.4,3.5,0.504,3.110646842
5627,1001.4,3.5,0.576,5.767385684
5628,1001.4,3.5,0.648,5.767385684
5629,1001.4,3.5,0.72,5.767385684
5630,1001.4,3.5,0.792,5.767385684
5631,1001.4,3.5,0.864,5.767385684
5632,1001.4,3.5,0.936,5.767385684
5633,1001.4,3.5,1.008,5.767385684
5634,1001.4,3.5,1.08,5.767385684
5635,1001.4,3.5,1.152,5.767385684
5636,1001.4,3.5,1.224,5.767385684
5637,1001.4,3.5,1.296,5.767385684
5638,1001.4,3.5,1.368,5.767385684
5639,1001.4,3.5,1.44,5.767385684
5640,1001.4,3.75,0,8.748752651
5641,1001.4,3.75,0.072,5.405141225
5642,1001.4,3.75,0.144,1.333779883
5643,1001.4,3.75,0.216,0.456602098
5644,1001.4,3.75,0.288,0.456602098
5645,1001.4,3.75,0.36,7.188249356
5646,1001.4,3.75,0.432,3.110646842
5647,1001.4,3.75,0.504,3.110646842
5648,1001.4,3.75,0.576,5.767385684
5649,1001.4,3.75,0.648,5.767385684
5650,1001.4,3.75,0.72,5.767385684
5651,1001.4,3.75,0.792,5.767385684
5652,1001.4,3.75,0.864,5.767385684
5653,1001.4,3.75,0.936,5.767385684
5654,1001.4,3.75,1.008,5.767385684
5655,1001.4,3.75,1.08,5.767385684
5656,1001.4,3.75,1.152,5.767385684
5657,1001.4,3.75,1.224,5.767385684
5658,1001.4,3.75,1.296,5.767385684
5659,1001.4,3.75,1.368,5.767385684
5660,1001.4,3.75,1.44,5.767385684
5661,1001.4,4,0,7.613567662
5662,1001.4,4,0.072,4.654121535
5663,1001.4,4,0.144,0.505490183
5664,1001.4,4,0.216,0
5665,1001.4,4,0.288,0
5666,1001.4,4,0.36,5.594079365
5667,1001.4,4,0.432,1.516472435
5668,1001.4,4,0.504,1.516472435
5669,1001.4,4,0.576,3.941289772
5670,1001.4,4,0.648,3.941289772
5671,1001.4,4,0.72,3.941289772
5672,1001.4,4,0.792,3.941289772
5673,1001.4,4,0.864,3.941289772
5674,1001.4,4,0.936,3.941289772
5675,1001.4,4,1.008,3.941289772
5676,1001.4,4,1.08,3.941289772
5677,1001.4,4,1.152,3.941289772
5678,1001.4,4,1.224,3.941289772
5679,1001.4,4,1.296,3.941289772
5680,1001.4,4,1.368,3.941289772
5681,1001.4,4,1.44,3.941289772
5682,1001.4,4.25,0,7.613567662
5683,1001.4,4.25,0.072,4.654121535
5684,1001.4,4.25,0.144,0.505490183
5685,1001.4,4.25,0.216,0
5686,1001.4,4.25,0.288,0
5687,1001.4,4.25,0.36,5.594079365
5688,1001.4,4.25,0.432,1.516472435
5689,1001.4,4.25,0.504,1.516472435
5690,1001.4,4.25,0.576,3.941289772
5691,1001.4,4.25,0.648,3.941289772
5692,1001.4,4.25,0.72,3.941289772
5693,1001.4,4.25,0.792,3.941289772
5694,1001.4,4.25,0.864,3.941289772
5695,1001.4,4.25,0.936,3.941289772
5696,1001.4,4.25,1.008,3.941289772
5697,1001.4,4.25,1.08,3.941289772
5698,1001.4,4.25,1.152,3.941289772
5699,1001.4,4.25,1.224,3.941289772
5700,1001.4,4.25,1.296,3.941289772
5701,1001.4,4.25,1.368,3.941289772
5702,1001.4,4.25,1.44,3.941289772
5703,1001.4,4.5,0,7.613567662
5704,1001.4,4.5,0.072,4.654121535
5705,1001.4,4.5,0.144,0.505490183
5706,1001.4,4.5,0.216,0
5707,1001.4,4.5,0.288,0
5708,1001.4,4.5,0.36,5.594079365
5709,1001.4,4.5,0.432,1.516472435
5710,1001.4,4.5,0.504,1.516472435
5711,1001.4,4.5,0.576,3.941289772
5712,1001.4,4.5,0.648,3.941289772
5713,1001.4,4.5,0.72,3.941289772
5714,1001.4,4.5,0.792,3.941289772
5715,1001.4,4.5,0.864,3.941289772
5716,1001.4,4.5,0.936,3.941289772
5717,1001.4,4.5,1.008,3.941289772
5718,1001.4,4.5,1.08,3.941289772
5719,1001.4,4.5,1.152,3.941289772
5720,1001.4,4.5,1.224,3.941289772
5721,1001.4,4.5,1.296,3.941289772
5722,1001.4,4.5,1.368,3.941289772
5723,1001.4,4.5,1.44,3.941289772
5724,1001.4,4.75,0,7.613567662
5725,1001.4,4.75,0.072,4.654121535
5726,1001.4,4.75,0.144,0.505490183
5727,1001.4,4.75,0.216,0
5728,1001.4,4.75,0.288,0
5729,1001.4,4.75,0.36,5.594079365
5730,1001.4,4.75,0.432,1.516472435
5731,1001.4,4.75,0.504,1.516472435
5732,1001.4,4.75,0.576,3.941289772
5733,1001.4,4.75,0.648,3.941289772
5734,1001.4,4.75,0.72,3.941289772
5735,1001.4,4.75,0.792,3.941289772
5736,1001.4,4.75,0.864,3.941289772
5737,1001.4,4.75,0.936,3.941289772
5738,1001.4,4.75,1.008,3.941289772
5739,1001.4,4.75,1.08,3.941289772
5740,1001.4,4.75,1.152,3.941289772
5741,1001.4,4.75,1.224,3.941289772
5742,1001.4,4.75,1.296,3.941289772
5743,1001.4,4.75,1.368,3.941289772
5744,1001.4,4.75,1.44,3.941289772
5745,1001.4,5,0,6.860085291
5746,1001.4,5,0.072,3.90064358
5747,1001.4,5,0.144,0
5748,1001.4,5,0.216,0
5749,1001.4,5,0.288,0
5750,1001.4,5,0.36,4.820862791
5751,1001.4,5,0.432,0.743254573
5752,1001.4,5,0.504,0.743254573
5753,1001.4,5,0.576,3.168072094
5754,1001.4,5,0.648,3.168072094
5755,1001.4,5,0.72,3.168072094
5756,1001.4,5,0.792,3.168072094
5757,1001.4,5,0.864,3.168072094
5758,1001.4,5,0.936,3.168072094
5759,1001.4,5,1.008,3.168072094
5760,1001.4,5,1.08,3.168072094
5761,1001.4,5,1.152,3.168072094
5762,1001.4,5,1.224,3.168072094
5763,1001.4,5,1.296,3.168072094
5764,1001.4,5,1.368,3.168072094
5765,1001.4,5,1.44,3.168072094
5766,1001.4,5.25,0,6.860085291
5767,1001.4,5.25,0.072,3.90064358
5768,1001.4,5.25,0.144,0
5769,1001.4,5.25,0.216,0
5770,1001.4,5.25,0.288,0
5771,1001.4,5.25,0.36,4.820862791
5772,1001.4,5.25,0.432,0.743254573
5773,1001.4,5.25,0.504,0.743254573
