,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables,K-NN,SVR,GPR,DTR,RFR,XGB,LGBM,ETR,CB,MLP,scaled_probability_40,scaled_probability_80,scaled_probability_95,entropy,margin,max_prob
5167,978.2,4.5,0.72,3.532118936,1,['Contact time'],1.107301139,0.912464874090154,1.4394820122858007,1.1073011390000005,1.0906505967252265,0.9206478,1.1113461076585331,1.4563817081846997,2.1547873936463637,6.9439594103011375,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
5181,978.2,4.75,0.72,3.532118936,1,['Contact time'],0.91399669075,0.9094851237309474,1.219793613794527,1.1073011390000005,1.0446707732371838,0.95341504,1.1115709559204772,1.450945124617812,2.1547873936463637,6.856760237772581,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
5182,978.2,4.75,0.792,3.532118936,1,['Contact time'],0.91399669075,0.9067954521611368,1.2283007402501769,1.1073011390000005,1.0446707732371838,0.95341504,1.1115709559204772,1.450945124617812,2.1547873936463637,6.8368067882904215,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
5183,978.2,4.75,0.864,3.532118936,1,['Contact time'],0.91399669075,0.9041813164871916,1.2444622268064602,1.1073011390000005,1.0446707732371838,0.95341504,1.1115709559204772,1.450945124617812,2.1547873936463637,6.816853338808277,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
5184,978.2,4.75,0.936,3.532118936,1,['Contact time'],0.91399669075,0.9016428227453162,1.265664980895302,1.1073011390000005,1.0446707732371838,0.95341504,1.1115709559204772,1.450945124617812,2.1547873936463637,6.796899889326132,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
5185,978.2,4.75,1.008,3.532118936,1,['Contact time'],0.91399669075,0.8991800738041649,1.2893031650567064,1.1073011390000005,1.0446707732371838,0.95341504,1.1115709559204772,1.450945124617812,2.1547873936463637,6.7769464398439725,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
5186,978.2,4.75,1.08,3.532118936,1,['Contact time'],0.91399669075,0.8967931693574149,1.3128782863438104,1.1073011390000005,1.0446707732371838,0.95341504,1.1115709559204772,1.450945124617812,2.1547873936463637,6.756992990361799,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
5187,978.2,4.75,1.152,3.532118936,1,['Contact time'],0.91399669075,0.8944822059173116,1.3340879201284075,1.1073011390000005,1.0446707732371838,0.95341504,1.1115709559204772,1.450945124617812,2.1547873936463637,6.737039540879668,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
5188,978.2,4.75,1.224,3.532118936,1,['Contact time'],0.91399669075,0.8922472768075229,1.3508998651202244,1.1073011390000005,1.0446707732371838,0.95341504,1.1115709559204772,1.450945124617812,2.1547873936463637,6.7170860913975305,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
5189,978.2,4.75,1.296,3.532118936,1,['Contact time'],0.91399669075,0.8900884721574016,1.361609464548792,1.1073011390000005,1.0446707732371838,0.95341504,1.1115709559204772,1.450945124617812,2.1547873936463637,6.69713264191535,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
5241,978.2,5.75,1.008,2.758902914,1,['Contact time'],0.334083346,0.8961246653976538,0.453570716319092,0.3340833459999999,0.3349966746316964,0.3976878,0.3315092108237094,1.449622746594721,1.716611483376428,6.428149749730022,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
5242,978.2,5.75,1.08,2.758902914,1,['Contact time'],0.334083346,0.8937556946456731,0.4397109309835727,0.3340833459999999,0.3349966746316964,0.3976878,0.3315092108237094,1.449622746594721,1.716611483376428,6.408196300247835,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
5243,978.2,5.75,1.152,2.758902914,1,['Contact time'],0.334083346,0.8914626991205115,0.4305686839126537,0.3340833459999999,0.3349966746316964,0.3976878,0.3315092108237094,1.449622746594721,1.716611483376428,6.388242850765654,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.584962500721156,0.0,0.3333333333333333
