,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables
257,723.0,3.0000000000000004,0.144,0.0,1,['Temperature']
258,723.0,3.0000000000000004,0.216,0.0,1,['Temperature']
259,723.0,3.0000000000000004,0.288,0.0,1,['Temperature']
260,723.0,3.0000000000000004,0.36,4.696822231,1,['Temperature']
261,723.0,3.0000000000000004,0.432,0.695549291,1,['Temperature']
262,723.0,3.0000000000000004,0.504,0.695549291,1,['Temperature']
263,723.0,3.0000000000000004,0.576,3.352292825,1,['Temperature']
276,723.0,3.25,0.0,6.887156007,1,['Temperature']
277,723.0,3.25,0.072,2.836903934,1,['Temperature']
278,723.0,3.25,0.144,0.0,1,['Temperature']
279,723.0,3.25,0.216,0.0,1,['Temperature']
280,723.0,3.25,0.288,0.0,1,['Temperature']
281,723.0,3.25,0.36,4.696822231,1,['Temperature']
282,723.0,3.25,0.432,0.695549291,1,['Temperature']
283,723.0,3.25,0.504,0.695549291,1,['Temperature']
284,723.0,3.25,0.576,3.352292825,1,['Temperature']
297,723.0,3.5,0.0,6.887156007,1,['Temperature']
298,723.0,3.5,0.072,2.836903934,1,['Temperature']
299,723.0,3.5,0.144,0.0,1,['Temperature']
300,723.0,3.5,0.216,0.0,1,['Temperature']
301,723.0,3.5,0.288,0.0,1,['Temperature']
302,723.0,3.5,0.36,4.696822231,1,['Temperature']
303,723.0,3.5,0.432,0.695549291,1,['Temperature']
304,723.0,3.5,0.504,0.695549291,1,['Temperature']
305,723.0,3.5,0.576,3.352292825,1,['Temperature']
318,723.0,3.75,0.0,6.887156007,1,['Temperature']
319,723.0,3.75,0.072,2.836903934,1,['Temperature']
320,723.0,3.75,0.144,0.0,1,['Temperature']
321,723.0,3.75,0.216,0.0,1,['Temperature']
322,723.0,3.75,0.288,0.0,1,['Temperature']
323,723.0,3.75,0.36,4.696822231,1,['Temperature']
324,723.0,3.75,0.432,0.695549291,1,['Temperature']
325,723.0,3.75,0.504,0.695549291,1,['Temperature']
326,723.0,3.75,0.576,3.352292825,1,['Temperature']
339,723.0,4.0,0.0,5.726450934,1,['Temperature']
340,723.0,4.0,0.072,2.060366919,1,['Temperature']
341,723.0,4.0,0.144,0.0,1,['Temperature']
342,723.0,4.0,0.216,0.0,1,['Temperature']
343,723.0,4.0,0.288,0.0,1,['Temperature']
344,723.0,4.0,0.36,3.077133259,1,['Temperature']
345,723.0,4.0,0.432,0.0,1,['Temperature']
346,723.0,4.0,0.504,0.0,1,['Temperature']
347,723.0,4.0,0.576,1.500681153,1,['Temperature']
360,723.0,4.25,0.0,5.726450934,1,['Temperature']
361,723.0,4.25,0.072,2.060366919,1,['Temperature']
362,723.0,4.25,0.144,0.0,1,['Temperature']
363,723.0,4.25,0.216,0.0,1,['Temperature']
364,723.0,4.25,0.288,0.0,1,['Temperature']
365,723.0,4.25,0.36,3.077133259,1,['Temperature']
366,723.0,4.25,0.432,0.0,1,['Temperature']
367,723.0,4.25,0.504,0.0,1,['Temperature']
368,723.0,4.25,0.576,1.500681153,1,['Temperature']
381,723.0,4.499999999999999,0.0,5.726450934,1,['Temperature']
382,723.0,4.499999999999999,0.072,2.060366919,1,['Temperature']
383,723.0,4.499999999999999,0.144,0.0,1,['Temperature']
384,723.0,4.499999999999999,0.216,0.0,1,['Temperature']
385,723.0,4.499999999999999,0.288,0.0,1,['Temperature']
386,723.0,4.499999999999999,0.36,3.077133259,1,['Temperature']
387,723.0,4.499999999999999,0.432,0.0,1,['Temperature']
388,723.0,4.499999999999999,0.504,0.0,1,['Temperature']
389,723.0,4.499999999999999,0.576,1.500681153,1,['Temperature']
402,723.0,4.749999999999999,0.0,5.726450934,1,['Temperature']
403,723.0,4.749999999999999,0.072,2.060366919,1,['Temperature']
404,723.0,4.749999999999999,0.144,0.0,1,['Temperature']
405,723.0,4.749999999999999,0.216,0.0,1,['Temperature']
406,723.0,4.749999999999999,0.288,0.0,1,['Temperature']
407,723.0,4.749999999999999,0.36,3.077133259,1,['Temperature']
408,723.0,4.749999999999999,0.432,0.0,1,['Temperature']
409,723.0,4.749999999999999,0.504,0.0,1,['Temperature']
410,723.0,4.749999999999999,0.576,1.500681153,1,['Temperature']
423,723.0,5.0,0.0,5.063559949,1,['Temperature']
424,723.0,5.0,0.072,1.397475291,1,['Temperature']
425,723.0,5.0,0.144,0.0,1,['Temperature']
426,723.0,5.0,0.216,0.0,1,['Temperature']
427,723.0,5.0,0.288,0.0,1,['Temperature']
428,723.0,5.0,0.36,2.394502368,1,['Temperature']
429,723.0,5.0,0.432,0.0,1,['Temperature']
430,723.0,5.0,0.504,0.0,1,['Temperature']
431,723.0,5.0,0.576,0.81804925,1,['Temperature']
444,723.0,5.25,0.0,5.063559949,1,['Temperature']
445,723.0,5.25,0.072,1.397475291,1,['Temperature']
446,723.0,5.25,0.144,0.0,1,['Temperature']
447,723.0,5.25,0.216,0.0,1,['Temperature']
448,723.0,5.25,0.288,0.0,1,['Temperature']
449,723.0,5.25,0.36,2.394502368,1,['Temperature']
450,723.0,5.25,0.432,0.0,1,['Temperature']
451,723.0,5.25,0.504,0.0,1,['Temperature']
452,723.0,5.25,0.576,0.81804925,1,['Temperature']
465,723.0,5.5,0.0,5.063559949,1,['Temperature']
466,723.0,5.5,0.072,1.397475291,1,['Temperature']
467,723.0,5.5,0.144,0.0,1,['Temperature']
468,723.0,5.5,0.216,0.0,1,['Temperature']
469,723.0,5.5,0.288,0.0,1,['Temperature']
470,723.0,5.5,0.36,2.394502368,1,['Temperature']
471,723.0,5.5,0.432,0.0,1,['Temperature']
472,723.0,5.5,0.504,0.0,1,['Temperature']
473,723.0,5.5,0.576,0.81804925,1,['Temperature']
