Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,Hard extrapolative error,Easy extrapolative error,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
3490,-3.0116805920471235,-0.7048595433585552,5.335050342778257,0.5969866116961517,0.8953467845530332,0.6790471822694187,[3.2405385],[11.61653225],973,1,1.0,0.0,1.0,1.0,0.1
3491,-3.0116805920471235,-0.7048595433585552,5.814916642247125,0.5969866116961517,0.8953467845530332,0.6790471822694187,[3.2405385],[11.61653225],973,1,1.0,0.0,1.0,1.0,0.1
3492,-3.0116805920471235,-0.7048595433585552,6.294782941715995,0.5969866116961517,0.8953467845530332,0.6790471822694187,[3.2405385],[11.61653225],973,1,1.0,0.0,1.0,1.0,0.1
3493,-3.0116805920471235,-0.7048595433585552,6.774649241184863,0.5969866116961517,0.8953467845530332,0.6790471822694187,[3.2405385],[11.61653225],973,1,1.0,0.0,1.0,1.0,0.1
3494,-3.0116805920471235,-0.7048595433585552,7.254515540653732,0.5969866116961517,0.8953467845530332,0.6790471822694187,[3.2405385],[11.61653225],973,1,1.0,0.0,1.0,1.0,0.1
3495,-3.0116805920471235,-0.7048595433585552,7.7343818401226,0.5969866116961517,0.8953467845530332,0.6790471822694187,[3.2405385],[11.61653225],973,1,1.0,0.0,1.0,1.0,0.1
3496,-3.0116805920471235,-0.32602623829614,-1.862944149254773,0.6182590934863146,0.8714361549619656,0.7330146359702615,[3.27596845],[11.69480912],973,1,1.0,0.0,1.0,1.0,0.1
3497,-3.0116805920471235,-0.32602623829614,-1.3830778497859042,0.5470020215814835,0.9492555955907455,0.7335857615688984,[1.72948637],[12.60668807],944,9,3.8935050880802624,0.0,0.5,1.0,0.1
3498,-3.0116805920471235,-0.32602623829614,-0.9032115503170357,0.590770495533094,0.9022038566567728,0.685787812883187,[3.23361196],[11.73934905],891,1,1.0,0.0,1.0,1.0,0.1
3499,-3.0116805920471235,-0.32602623829614,-0.42334525084816704,0.6259724265210274,0.8625276383344038,0.6520918020279576,[3.23848619],[11.74028842],891,1,1.0,0.0,1.0,1.0,0.1
3500,-3.0116805920471235,-0.32602623829614,0.05652104862070149,0.6259724265210274,0.8625276383344038,0.6520918020279576,[3.23848619],[11.74028842],891,1,1.0,0.0,1.0,1.0,0.1
3501,-3.0116805920471235,-0.32602623829614,0.5363873480895702,0.5457238798869961,0.9506061962722442,0.7558909769366824,[3.23676481],[11.74466674],891,1,1.0,0.0,1.0,1.0,0.1
3502,-3.0116805920471235,-0.32602623829614,1.016253647558439,0.5772019569838946,0.9170387651344725,0.7086269836446812,[3.23807516],[11.73954217],891,1,1.0,0.0,1.0,1.0,0.1
3503,-3.0116805920471235,-0.32602623829614,1.4961199470273077,0.5772019569838946,0.9170387651344725,0.7086269836446812,[3.23807516],[11.73954217],891,1,1.0,0.0,1.0,1.0,0.1
3504,-3.0116805920471235,-0.32602623829614,1.975986246496176,0.596645435246792,0.8957256883598409,0.6792444407237285,[3.24221506],[11.62580435],891,1,1.0,0.0,1.0,1.0,0.1
