,Order,RMSE,MAE,R2
108,2710,0.9571894145905601,0.5361339336138249,0.7409899471176176
109,843,0.9572365773490202,0.5367946114701231,0.7409790992275955
110,2659,0.9572368205852203,0.5357719511123236,0.7409733238487749
111,2145,0.9572504508253165,0.5413197627925469,0.7409715910599116
112,3026,0.9572614396869634,0.5367218687812252,0.7409345067527475
113,4607,0.957264209174887,0.5359778312606701,0.7409695556464637
114,3823,0.9573101488175184,0.5368566149057256,0.7409202786744803
115,5274,0.9573320811096767,0.5417164021959106,0.7409365222698946
116,7245,0.9573333559558612,0.54109412648406,0.7409206606321022
117,2883,0.9573543378666581,0.5380055883893919,0.7409252811332017
118,6785,0.9574438200618037,0.5387653508046726,0.7408277913150728
119,6592,0.9574485470826518,0.5370107376458557,0.7407945657035747
120,5649,0.957473482882773,0.5405942224116939,0.7408294950190659
121,2978,0.9574759672660139,0.5357946104299589,0.7408348448315449
122,4627,0.9574807726633848,0.5362271168285623,0.7408565313294468
123,4012,0.9574947977946232,0.5360445181938915,0.7408434204358929
124,4297,0.9574999057426189,0.5382652104009147,0.7408367660126169
125,1936,0.9575056842288294,0.5354828354312018,0.7408312199554636
126,4259,0.9575291283975103,0.536073160689973,0.7408305212815084
127,2991,0.9575520744648267,0.5365618330352973,0.7407936425067214
128,2346,0.9576027431041406,0.5355812494873101,0.7407908191817589
129,3772,0.9576178425410716,0.5377068071938439,0.7407670417964618
130,3785,0.9576518392628917,0.5365717983584039,0.7407486352321455
131,3011,0.9576649212922523,0.5367261204467788,0.7407160707313173
132,2556,0.957683320704631,0.537472414961035,0.7406991597963895
133,2431,0.9577390251203358,0.5410341427678353,0.7406924187085805
134,3545,0.9577540636845271,0.5400103599100149,0.7406691045953846
135,2795,0.957758318270714,0.5382708158887876,0.7406585457584569
136,4378,0.9577736846383067,0.5366824307148055,0.740677907434576
137,657,0.9577806451106123,0.5385826248814997,0.740637957875814
138,1249,0.9577873737114863,0.5362828651556532,0.740634313722422
139,2173,0.9577881927442665,0.5372954256147411,0.7406338701394395
140,2773,0.9577890125184808,0.5402104192637709,0.7406419227372696
141,260,0.9578048479165832,0.5396885689706442,0.7406659018177547
142,1732,0.9578465411764313,0.5416302763492422,0.7406022680208956
143,4829,0.9578619840695769,0.536146411016641,0.740650123608607
