Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,mean,std
862.2,1.75,0.072,6.994392112,-0.42057484,0.27651596
862.2,1.75,0.144,3.243188454,-0.53857887,0.3753474
862.2,1.75,0.216,2.962152095,-0.53857887,0.3753474
862.2,1.75,0.288,2.962152095,-0.53857887,0.3753474
862.2,1.75,0.36,9.589847711,-0.42678973,0.28368673
862.2,1.75,0.432,6.617509592,-0.51869416,0.35713157
862.2,1.75,0.504,6.617509592,-0.51869416,0.35713157
862.2,1.75,0.576,9.933110279,-0.51869416,0.35713157
862.2,1.75,0.648,9.933110279,-0.51869416,0.35713157
862.2,1.75,0.72,9.933110279,-0.51869416,0.35713157
862.2,1.75,0.792,9.933110279,-0.51869416,0.35713157
862.2,1.75,0.864,9.933110279,-0.51869416,0.35713157
862.2,1.75,0.936,9.933110279,-0.51869416,0.35713157
862.2,1.75,1.008,9.933110279,-0.51869416,0.35713157
862.2,1.75,1.08,9.933110279,-0.51869416,0.35713157
862.2,1.75,1.152,9.933110279,-0.51869416,0.35713157
862.2,1.75,1.224,9.933110279,-0.51869416,0.35713157
862.2,1.75,1.296,9.933110279,-0.51869416,0.35713157
862.2,1.75,1.368,9.933110279,-0.51869416,0.35713157
862.2,1.75,1.44,9.933110279,-0.51869416,0.35713157
862.2,2,0,7.930769467,-0.4255249,0.2811681
862.2,2,0.072,5.287248717,-0.42057484,0.27651596
862.2,2,0.144,1.408573088,-0.53857887,0.3753474
862.2,2,0.216,1.193470945,-0.53857887,0.3753474
862.2,2,0.288,1.193470945,-0.53857887,0.3753474
862.2,2,0.36,7.821168953,-0.42678973,0.28368673
862.2,2,0.432,4.825053139,-0.51869416,0.35713157
862.2,2,0.504,4.825053139,-0.51869416,0.35713157
862.2,2,0.576,8.206915799,-0.51869416,0.35713157
862.2,2,0.648,8.206915799,-0.51869416,0.35713157
862.2,2,0.72,8.206915799,-0.51869416,0.35713157
862.2,2,0.792,8.206915799,-0.51869416,0.35713157
862.2,2,0.864,8.206915799,-0.51869416,0.35713157
862.2,2,0.936,8.206915799,-0.51869416,0.35713157
862.2,2,1.008,8.206915799,-0.51869416,0.35713157
