,Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,Hard extrapolative error,Easy extrapolative error,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
17,17,1.0207419719698547,-3.7355259838578765,-1.5297036635125032,0.5640827513357403,0.9312123500496036,0.7222403634147851,[2.86353674],[12.72031502],951,34,3.100700272643401,0.0,0.5,0.5,0.0874067556340713
18,18,1.0207419719698547,-3.7355259838578765,-1.5297036635125032,0.54529443896923,0.9510685771234676,0.7336994261951416,[1.03016748],[12.60695462],298,19,2.413121630603125,0.0,1.0,1.0,0.1
19,19,-0.26894541524239823,-4.493192593982707,1.8027011939101962,0.6741100626617202,0.8051556633273355,0.5715997167036164,[1.14945307],[0.1020035],298,19,2.413121630603125,0.0,1.0,1.0,0.1
20,20,0.16095038049501945,-4.493192593982707,1.8027011939101962,0.7298399724899849,0.7330465712408833,0.5078913229318798,[1.5120801],[10.88520519],311,24,2.0595615543177264,0.0,1.0,1.0,0.1
21,21,0.5908461762324371,-4.493192593982707,1.8027011939101962,0.8268469213252188,0.586866291674283,0.4499904944457026,[3.14142809],[4.43974726],907,1,1.0,0.0,0.5,1.0,0.1
22,22,1.0207419719698547,-4.493192593982707,1.8027011939101962,0.7827883210937596,0.6572733140704681,0.5064357041971306,[3.5031146],[9.09173195],909,32,2.892225443073893,0.0,1.0,0.5,0.1
23,23,1.4506377677072724,-4.493192593982707,1.8027011939101962,0.5648227466072693,0.9302996337401636,0.7206387674332051,[1.90719499],[12.70363097],982,14,3.938562308605894,0.0,0.5,0.5,0.1
24,24,1.0207419719698547,-6.008525814232367,1.8027011939101962,0.8296798778744577,0.5819955864275597,0.4766663897850655,[3.51651774],[5.77035753],927,1,1.0,0.0,0.5,1.0,0.1
25,25,1.0207419719698547,-4.493192593982707,1.8027011939101962,0.5849650348291132,0.9085456568124294,0.6916619150840073,[1.44151964],[12.44018559],315,31,2.5277616926384936,0.0,1.0,1.0,0.1
26,26,1.0207419719698547,-2.9778593737330463,1.8027011939101962,0.5679867006225167,0.9270168664344025,0.707087088432971,[1.16799822],[12.39127783],941,11,2.2454097466503997,0.0,1.0,1.0,0.1
27,27,1.0207419719698547,-4.493192593982707,0.5363873480895702,0.562953442775282,0.9323317551335918,0.7230993106127244,[2.33788576],[12.71591286],928,33,4.906407753193102,0.0,1.0,0.5,0.1
28,28,1.0207419719698547,-4.493192593982707,7.7343818401226,0.5645042314049398,0.9306714330779784,0.7197617657420435,[2.05627146],[12.66762738],990,19,3.539211174489292,0.0,0.6207441268906926,0.5,0.1
